Year;N;MeanTCperArt;MeanTCperYear;CitableYears
1991;5;7,8;0,251612903225806;31
1992;12;57,5833333333333;1,91944444444444;30
1993;5;27,8;0,958620689655172;29
1994;9;27,8888888888889;0,996031746031746;28
1995;8;26;0,962962962962963;27
1996;18;48,5;1,86538461538462;26
1997;20;31,4;1,256;25
1998;14;56,7142857142857;2,36309523809524;24
1999;18;68,8888888888889;2,9951690821256;23
2000;16;32,4375;1,47443181818182;22
2001;39;43,2307692307692;2,05860805860806;21
2002;26;55,6153846153846;2,78076923076923;20
2003;30;46,5666666666667;2,45087719298246;19
2004;24;43;2,38888888888889;18
2005;62;52,9032258064516;3,11195445920304;17
2006;61;34,1967213114754;2,13729508196721;16
2007;66;34,0606060606061;2,27070707070707;15
2008;83;40,6626506024096;2,90447504302926;14
2009;99;40,6161616161616;3,12432012432012;13
2010;141;27,063829787234;2,25531914893617;12
2011;111;32,6486486486486;2,96805896805897;11
2012;148;27,7702702702703;2,77702702702703;10
2013;176;28,7045454545455;3,18939393939394;9
2014;209;21,0191387559809;2,62739234449761;8
2015;225;22,1155555555556;3,15936507936508;7
2016;201;17,3582089552239;2,89303482587065;6
2017;272;13,0036764705882;2,60073529411765;5
2018;272;12,2022058823529;3,05055147058824;4
2019;318;8,83647798742138;2,94549266247379;3
2020;362;4,8232044198895;2,41160220994475;2
2021;390;1,58461538461538;1,58461538461538;1
2022;34;0,0294117647058824;;0
