Description,Results
MAIN INFORMATION ABOUT DATA,
Timespan,2018:2022
"Sources (Journals, Books, etc)",444
Documents,846
Annual Growth Rate,133.73
Document Average Age,496
Average citations per doc,0
References,27467
DOCUMENT CONTENTS,
Keywords Plus (ID),1377
Author's Keywords (DE),2504
AUTHORS,
Authors,3380
Authors of single-authored docs,47
AUTHORS COLLABORATION,
Single-authored docs,47
Co-Authors per Doc,4.43
International co-authorships,28.01
DOCUMENT TYPES,
article,845
article; proceedings paper,1
