,RunId,iteration,Step,width,height,schedule_type,defect_multiplier,payoffs,seed,Cooperating,Defecting
0,0,0,100,50,50,Random,1,,,2343,157
1,1,1,100,50,50,Random,1,,,2362,138
2,2,2,100,50,50,Random,1,,,2418,82
3,3,3,100,50,50,Random,1,,,2407,93
4,4,4,100,50,50,Random,1,,,2336,164
5,5,5,100,50,50,Random,1,,,2383,117
6,6,6,100,50,50,Random,1,,,0,2500
7,7,7,100,50,50,Random,1,,,0,2500
8,8,8,100,50,50,Random,1,,,2325,175
9,9,9,100,50,50,Random,1,,,2347,153
10,10,10,100,50,50,Random,1,,,2346,154
11,11,11,100,50,50,Random,1,,,2275,225
12,12,12,100,50,50,Random,1,,,2420,80
13,13,13,100,50,50,Random,1,,,2382,118
14,14,14,100,50,50,Random,1,,,2319,181
15,15,15,100,50,50,Random,1,,,2345,155
16,16,16,100,50,50,Random,1,,,0,2500
17,17,17,100,50,50,Random,1,,,0,2500
18,18,18,100,50,50,Random,1,,,2418,82
19,19,19,100,50,50,Random,1,,,2265,235
20,20,20,100,50,50,Random,1,,,2312,188
21,21,21,100,50,50,Random,1,,,0,2500
22,22,22,100,50,50,Random,1,,,0,2500
23,23,23,100,50,50,Random,1,,,0,2500
24,24,24,100,50,50,Random,1,,,2321,179
25,25,25,100,50,50,Random,1,,,0,2500
26,26,26,100,50,50,Random,1,,,2350,150
27,27,27,100,50,50,Random,1,,,0,2500
28,28,28,100,50,50,Random,1,,,2355,145
29,29,29,100,50,50,Random,1,,,2348,152
30,30,30,100,50,50,Random,1,,,0,2500
31,31,31,100,50,50,Random,1,,,0,2500
32,32,32,100,50,50,Random,1,,,2418,82
33,33,33,100,50,50,Random,1,,,0,2500
34,34,34,100,50,50,Random,1,,,2331,169
35,35,35,100,50,50,Random,1,,,0,2500
36,36,36,100,50,50,Random,1,,,2284,216
37,37,37,100,50,50,Random,1,,,0,2500
38,38,38,100,50,50,Random,1,,,2334,166
39,39,39,100,50,50,Random,1,,,0,2500
40,40,40,100,50,50,Random,1,,,2422,78
41,41,41,100,50,50,Random,1,,,2277,223
42,42,42,100,50,50,Random,1,,,0,2500
43,43,43,100,50,50,Random,1,,,2417,83
44,44,44,100,50,50,Random,1,,,2297,203
45,45,45,100,50,50,Random,1,,,2280,220
46,46,46,100,50,50,Random,1,,,2391,109
47,47,47,100,50,50,Random,1,,,2359,141
48,48,48,100,50,50,Random,1,,,0,2500
49,49,49,100,50,50,Random,1,,,2426,74
